[RX] Plant monitoring!
[RX] Sensor ready.
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,641.00,3,25.00,46.00,641.50,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,641.67,1,0,0,0,0,0
[RX] 25.80,46.00,641.00,3,25.00,46.00,641.50,1,0,0,0,0,0
[RX] 25.80,46.00,641.00,3,25.00,46.00,641.40,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,641.40,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,641.60,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,641.60,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,641.80,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,46.00,642.00,3,25.00,46.00,642.00,1,0,0,0,0,0
[RX] 25.80,47.00,642.00,3,25.00,46.20,642.00,1,0,0,0,0,0
[RX] 25.80,47.00,642.00,3,25.00,46.40,642.00,1,0,0,0,0,0
[RX] 25.80,47.00,642.00,3,25.00,46.60,642.00,1,0,0,0,0,0
[RX] 25.80,47.00,642.00,3,25.00,46.80,642.00,1,0,0,0,0,0
[RX] 25.80,47.00,642.00,3,25.00,47.00,642.00,1,0,0,0,0,0
[RX] 25.80,47.00,642.00,3,25.00,47.00,642.00,1,0,0,0,0,0
[RX] 25.80,47.00,642.00,3,25.00,47.00,642.00,1,0,0,0,0,0
